"#""Step""",Potential Energy (kJ/mole),Kinetic Energy (kJ/mole),Total Energy (kJ/mole),Temperature (K),Density (g/mL)
8000,-317606.4896,64855.62411,-252750.8655,300.1743017,0.952555225
8100,-316919.9394,63959.11622,-252960.8232,296.0249526,0.952555225
8200,-317318.4477,64630.50409,-252687.9436,299.1323683,0.952555225
8300,-317818.2294,64926.85757,-252891.3718,300.5039949,0.952555225
8400,-317106.9964,64254.12282,-252852.8735,297.3903454,0.952555225
8500,-317626.9732,64561.35694,-253065.6162,298.8123313,0.952555225
8600,-317244.3192,64608.29952,-252636.0196,299.0295979,0.952555225
8700,-317440.7963,64542.47781,-252898.3185,298.7249522,0.952555225
8800,-317829.9035,64770.38065,-253059.5229,299.7797655,0.952555225
8900,-317919.5314,64873.02775,-253046.5036,300.2548518,0.952555225
9000,-317394.611,64372.34158,-253022.2694,297.9375028,0.952555225
9100,-317507.7711,65040.95463,-252466.8164,301.0320756,0.952555225
9200,-317245.1206,64599.75646,-252645.3641,298.9900576,0.952555225
9300,-317093.7438,64683.99065,-252409.7531,299.3799226,0.952555225
9400,-316899.4569,64390.69417,-252508.7627,298.0224449,0.952555225
9500,-317048.7781,64934.40781,-252114.3703,300.53894,0.952555225
9600,-316945.7166,64779.78725,-252165.9294,299.8233025,0.952555225
9700,-316283.6626,64410.77798,-251872.8846,298.1153997,0.952555225
9800,-316974.1652,65103.76721,-251870.398,301.322794,0.952555225
9900,-316561.3005,64927.8007,-251633.4998,300.5083601,0.952555225
10000,-316996.7354,65376.18131,-251620.5541,302.5836209,0.952555225
10100,-317212.7608,65577.97611,-251634.7847,303.5175971,0.952555225
10200,-317161.0816,65393.86684,-251767.2148,302.6654756,0.952555225
10300,-316042.1776,64667.3538,-251374.8238,299.3029215,0.952555225
10400,-316785.3721,65082.61506,-251702.757,301.2248945,0.952555225
10500,-317098.3868,65257.66623,-251840.7206,302.035092,0.952555225
10600,-317499.6041,65558.12658,-251941.4775,303.4257266,0.952555225
10700,-317028.283,64898.30179,-252129.9812,300.3718289,0.952555225
10800,-317165.4569,65759.93303,-251405.5239,304.3597568,0.952555225
10900,-316552.3185,64789.89159,-251762.4269,299.8700689,0.952555225
11000,-316874.2946,65127.34209,-251746.9525,301.4319067,0.952555225
11100,-317785.1774,65677.10047,-252108.0769,303.976379,0.952555225
11200,-316927.0604,64714.66564,-252212.3948,299.5218971,0.952555225
11300,-316873.1191,64535.7168,-252337.4023,298.6936599,0.952555225
11400,-317241.5633,64669.25104,-252572.3123,299.3117026,0.952555225
11500,-316463.0929,63888.94033,-252574.1525,295.7001543,0.952555225
11600,-316786.8144,64645.77673,-252141.0376,299.2030554,0.952555225
11700,-316734.5994,65007.62218,-251726.9772,300.8778015,0.952555225
11800,-316802.4034,64982.18133,-251820.2221,300.7600524,0.952555225
11900,-316837.884,65104.54776,-251733.3362,301.3264067,0.952555225
12000,-316653.6199,64872.59379,-251781.0262,300.2528433,0.952555225
12100,-317289.4148,65516.79719,-251772.6176,303.2344399,0.952555225
12200,-317107.9484,65320.66198,-251787.2864,302.3266582,0.952555225
12300,-316845.2245,65464.82527,-251380.3992,302.9938958,0.952555225
12400,-316524.9517,65241.24101,-251283.7106,301.9590704,0.952555225
12500,-317120.8803,65628.04837,-251492.8319,303.7493489,0.952555225
12600,-316669.2274,65216.86716,-251452.3603,301.8462598,0.952555225
12700,-316824.0075,65247.78942,-251576.2181,301.9893787,0.952555225
12800,-316653.6067,65345.81172,-251307.7949,302.4430599,0.952555225
12900,-316711.3872,65936.32056,-250775.0667,305.1761394,0.952555225
13000,-315791.1188,64798.08145,-250993.0374,299.9079744,0.952555225
13100,-316845.0664,65711.81589,-251133.2505,304.137054,0.952555225
13200,-316703.0803,65739.28656,-250963.7937,304.2641978,0.952555225
13300,-315984.3632,65046.60754,-250937.7556,301.0582392,0.952555225
13400,-316192.7649,64954.67811,-251238.0868,300.632758,0.952555225
13500,-316486.5242,65181.47926,-251305.045,301.6824723,0.952555225
13600,-316621.7139,65561.94713,-251059.7668,303.4434095,0.952555225
13700,-316199.9688,65081.9547,-251118.0141,301.2218382,0.952555225
13800,-316829.7275,65378.71308,-251451.0144,302.5953388,0.952555225
13900,-317049.7334,65690.92629,-251358.8071,304.0403697,0.952555225
14000,-317010.2839,65983.55064,-251026.7332,305.3947366,0.952555225
14100,-316232.8415,65356.3253,-250876.5162,302.4917204,0.952555225
14200,-316610.6769,65410.15397,-251200.5229,302.7408581,0.952555225
14300,-316996.0792,65813.96237,-251182.1168,304.6098233,0.952555225
14400,-316392.8485,65419.76649,-250973.082,302.7853482,0.952555225
14500,-315799.5081,64762.77634,-251036.7317,299.7445701,0.952555225
14600,-316222.3909,64859.94375,-251362.4472,300.1942946,0.952555225
14700,-316530.9216,64983.57644,-251547.3452,300.7665095,0.952555225
14800,-317035.9154,65059.05854,-251976.8568,301.1158668,0.952555225
14900,-316790.2438,64688.71098,-252101.5328,299.40177,0.952555225
15000,-317462.9135,65236.09841,-252226.815,301.9352687,0.952555225
15100,-316778.3398,65221.59176,-251556.748,301.8681269,0.952555225
15200,-317015.5897,65254.22301,-251761.3667,302.0191556,0.952555225
15300,-317390.6617,65912.39269,-251478.269,305.0653929,0.952555225
15400,-316669.4748,65197.90447,-251471.5703,301.7584939,0.952555225
15500,-317279.2383,66017.56317,-251261.6751,305.5521584,0.952555225
15600,-316137.7261,64782.27421,-251355.4519,299.834813,0.952555225
15700,-317081.8301,65426.25501,-251655.5751,302.8153793,0.952555225
15800,-317432.9551,65756.19943,-251676.7556,304.3424764,0.952555225
15900,-316869.6032,65035.04,-251834.5632,301.0047007,0.952555225
16000,-317158.7152,64810.97436,-252347.7409,299.9676472,0.952555225
16100,-317824.6302,64954.06993,-252870.5603,300.6299432,0.952555225
16200,-318073.8949,65052.78203,-253021.1129,301.0868169,0.952555225
16300,-317734.2348,65406.8239,-252327.4109,302.7254454,0.952555225
16400,-317177.4399,64545.87972,-252631.5602,298.7406974,0.952555225
16500,-317405.1121,65155.95122,-252249.1609,301.5643197,0.952555225
16600,-317637.6963,65357.76857,-252279.9277,302.4984003,0.952555225
16700,-317232.9336,65029.29985,-252203.6337,300.9781333,0.952555225
16800,-317465.5601,65379.08033,-252086.4798,302.5970385,0.952555225
16900,-317245.141,65399.09056,-251846.0504,302.6896528,0.952555225
17000,-317368.9068,65504.29151,-251864.6153,303.1765592,0.952555225
17100,-317237.9639,65199.20029,-252038.7636,301.7644914,0.952555225
17200,-317600.7598,65442.93019,-252157.8296,302.8925578,0.952555225
17300,-318265.3422,65927.57155,-252337.7706,305.135646,0.952555225
17400,-317826.6704,64893.28274,-252933.3877,300.3485989,0.952555225
17500,-317933.7077,64732.94502,-253200.7626,299.6065004,0.952555225
17600,-317918.3142,64711.30146,-253207.0127,299.5063265,0.952555225
17700,-317461.6009,64764.04775,-252697.5532,299.7504547,0.952555225
17800,-317555.9898,64675.95256,-252880.0373,299.3427196,0.952555225
17900,-317293.6987,64821.20364,-252472.4951,300.0149919,0.952555225
18000,-317104.1491,64995.32186,-252108.8273,300.8208714,0.952555225
18100,-317182.6974,65346.6705,-251836.0269,302.4470346,0.952555225
18200,-316732.1994,65059.50196,-251672.6974,301.1179191,0.952555225
18300,-316608.8214,64852.95036,-251755.8711,300.1619267,0.952555225
18400,-317120.8078,65180.14353,-251940.6642,301.6762901,0.952555225
18500,-317243.7396,64686.58088,-252557.1587,299.3919111,0.952555225
18600,-317588.5962,64881.33781,-252707.2584,300.2933137,0.952555225
18700,-318110.3857,65312.85722,-252797.5285,302.290535,0.952555225
18800,-318443.2755,65647.52091,-252795.7546,303.8394746,0.952555225
18900,-317885.9628,64906.42989,-252979.5329,300.4094485,0.952555225
19000,-317613.5447,64630.1863,-252983.3584,299.1308975,0.952555225
19100,-318222.2358,65268.866,-252953.3698,302.0869284,0.952555225
19200,-317204.931,64488.98874,-252715.9423,298.4773862,0.952555225
19300,-317523.1529,64690.91318,-252832.2397,299.4119625,0.952555225
19400,-317582.5449,64525.94858,-253056.5963,298.6484492,0.952555225
19500,-317747.815,64616.40522,-253131.4098,299.0671138,0.952555225
19600,-317918.7963,64803.12359,-253115.6727,299.9313112,0.952555225
19700,-318077.5991,65210.19736,-252867.4017,301.8153896,0.952555225
19800,-318097.4191,64852.24058,-253245.1785,300.1586416,0.952555225
19900,-317487.1195,64411.48824,-253075.6313,298.1186871,0.952555225
20000,-317942.5935,65052.22834,-252890.3651,301.0842543,0.952555225
20100,-317857.5127,65110.97979,-252746.5329,301.3561763,0.952555225
20200,-318103.8386,65332.86433,-252770.9743,302.3831349,0.952555225
20300,-317754.7838,65170.62594,-252584.1578,301.6322394,0.952555225
20400,-317459.9766,65334.65954,-252125.3171,302.3914437,0.952555225
20500,-317647.0904,65907.69705,-251739.3933,305.0436599,0.952555225
20600,-317433.8205,65235.55165,-252198.2689,301.9327381,0.952555225
20700,-316859.5263,64900.89458,-251958.6317,300.3838292,0.952555225
20800,-317046.9067,64929.50003,-252117.4067,300.5162251,0.952555225
20900,-317758.2837,65588.31947,-252169.9642,303.5654698,0.952555225
21000,-317390.7168,65308.09778,-252082.619,302.2685067,0.952555225
21100,-317480.2449,65532.00845,-251948.2365,303.3048429,0.952555225
21200,-317436.5476,65480.75252,-251955.7951,303.0676127,0.952555225
21300,-317093.4005,64877.31759,-252216.0829,300.2747067,0.952555225
21400,-317845.7476,65138.28078,-252707.4668,301.4825348,0.952555225
21500,-317762.4385,64894.22819,-252868.2103,300.3529748,0.952555225
21600,-317203.508,64471.03295,-252732.4751,298.3942806,0.952555225
21700,-317868.9522,65426.95192,-252442.0003,302.8186048,0.952555225
21800,-317631.4165,65374.38131,-252257.0352,302.5752898,0.952555225
21900,-317692.7771,65135.82088,-252556.9563,301.4711495,0.952555225
22000,-317621.444,65142.97599,-252478.468,301.5042658,0.952555225
22100,-317717.7098,64860.52665,-252857.1832,300.1969924,0.952555225
22200,-317360.3027,64859.67537,-252500.6273,300.1930524,0.952555225
22300,-317635.105,65044.96427,-252590.1407,301.0506337,0.952555225
22400,-317578.7258,64926.4717,-252652.2541,300.502209,0.952555225
22500,-317178.3588,64145.42636,-253032.9324,296.8872605,0.952555225
22600,-317982.457,64448.91607,-253533.5409,298.291916,0.952555225
22700,-318674.1936,64892.80807,-253781.3855,300.346402,0.952555225
22800,-318383.9364,64447.55222,-253936.3841,298.2856037,0.952555225
22900,-318415.3275,64445.34023,-253969.9873,298.2753658,0.952555225
23000,-318307.6139,64322.85735,-253984.7566,297.7084726,0.952555225
23100,-318362.0373,64230.00885,-254132.0284,297.2787375,0.952555225
23200,-318519.6416,64692.99228,-253826.6493,299.4215853,0.952555225
23300,-318268.3939,64449.11068,-253819.2832,298.2928168,0.952555225
23400,-318552.3009,64510.12276,-254042.1782,298.5752018,0.952555225
