#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
7900,-399569.94108446967,3551.7218204292567,-396018.2192640404,16.45379560808518,0.9580024802665849
8000,-399561.59572233306,3535.18547548226,-396026.4102468508,16.37718892163309,0.9580024802665849
8100,-399595.6082645664,3565.660682478401,-396029.947582088,16.518369130101103,0.9580024802665849
8200,-399593.89655931573,3567.41972351585,-396026.47683579987,16.526518107740607,0.9580024802665849
8300,-399578.35098992847,3555.870810738128,-396022.48017919034,16.473016324676617,0.9580024802665849
8400,-399653.4607731616,3630.362456955425,-396023.0983162062,16.81810819372988,0.9580024802665849
8500,-399620.8413909869,3600.2545081093995,-396020.5868828775,16.678629354581574,0.9580024802665849
8600,-399630.9103893703,3607.7723517707054,-396023.13803759956,16.713456705728607,0.9580024802665849
8700,-399637.78677525837,3613.8047417796543,-396023.98203347874,16.741402507019853,0.9580024802665849
8800,-399667.9118139902,3643.442195707379,-396024.46961828286,16.878701719606237,0.9580024802665849
8900,-399658.77541078534,3635.1409425229003,-396023.63446826243,16.840245125848604,0.9580024802665849
9000,-399719.0103114797,3695.1386777984417,-396023.87163368124,17.118192139461414,0.9580024802665849
9100,-399666.9134767717,3638.486423161052,-396028.4270536106,16.855743483381655,0.9580024802665849
9200,-399692.2437585201,3663.9073208678674,-396028.33643765224,16.973508971837457,0.9580024802665849
9300,-399715.60449780896,3689.2967788388523,-396026.3077189701,17.091128811784316,0.9580024802665849
9400,-399721.92195981275,3700.681080035195,-396021.2408797776,17.14386801110676,0.9580024802665849
9500,-399723.6048604334,3696.077760568369,-396027.527099865,17.122542557860335,0.9580024802665849
9600,-399715.8309985837,3694.027120093044,-396021.80387849064,17.11304270934951,0.9580024802665849
9700,-399743.0037933467,3719.833472495702,-396023.170320851,17.232593864899254,0.9580024802665849
9800,-399753.24565372523,3730.2762479947924,-396022.96940573043,17.280971328656367,0.9580024802665849
9900,-399809.61890732776,3786.9320893285476,-396022.68681799923,17.543436600555683,0.9580024802665849
10000,-399768.58189817984,3747.176077468488,-396021.40582071134,17.359261902645652,0.9580024802665849
10100,-399732.088691487,3708.464262656453,-396023.6244288305,17.17992457817628,0.9580024802665849
10200,-399808.9676574031,3787.980023531498,-396020.9876338716,17.548291286834008,0.9580024802665849
10300,-399836.1181811346,3810.4167504871,-396025.70143064746,17.652232231003246,0.9580024802665849
10400,-399854.5616676202,3828.2116554345776,-396026.35001218563,17.734669354087313,0.9580024802665849
10500,-399838.39336083364,3809.5033826049294,-396028.8899782287,17.648000940038457,0.9580024802665849
10600,-399858.6064829705,3836.511503116504,-396022.094979854,17.773119436678567,0.9580024802665849
10700,-399888.28924025176,3864.435411975639,-396023.8538282761,17.902480437392153,0.9580024802665849
10800,-399907.19380605314,3878.8290757231493,-396028.36473033,17.96916088516563,0.9580024802665849
10900,-399840.51239737216,3817.7652295442313,-396022.7471678279,17.686274979436092,0.9580024802665849
11000,-399918.2771955235,3894.159056466402,-396024.1181390571,18.04017893854315,0.9580024802665849
11100,-399915.13207535725,3887.411661726668,-396027.7204136306,18.0089207883986,0.9580024802665849
11200,-399872.8433285309,3843.8441940732473,-396028.99913445767,17.80708904476148,0.9580024802665849
11300,-399927.75903438684,3900.7197652068116,-396027.03926918004,18.070572242443802,0.9580024802665849
11400,-399928.9691235912,3903.4103525988357,-396025.5587709924,18.0830367250954,0.9580024802665849
11500,-399930.69699269393,3902.5582440735525,-396028.1387486204,18.079089225764154,0.9580024802665849
11600,-399909.08725802135,3888.033058205754,-396021.0541998156,18.011799485316715,0.9580024802665849
11700,-399939.57199663203,3918.6195897428697,-396020.9524068892,18.153495418646067,0.9580024802665849
11800,-399933.31593693886,3911.3386914873918,-396021.9772454515,18.11976574673037,0.9580024802665849
11900,-399999.0916006705,3971.152088079776,-396027.9395125907,18.39685878833504,0.9580024802665849
12000,-399966.63925699797,3941.430833348153,-396025.20842364983,18.25917135804219,0.9580024802665849
