#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Density (g/mL)"
200,-389315.0079201483,11821.85831306687,-377493.14960708143,54.71565671280716,0.9525552254942915
400,-379875.46075351397,21446.653933700407,-358428.80681981356,99.262545971954,0.9525552254942915
600,-371396.34635876166,28904.066807461553,-342492.2795513001,133.77803685001453,0.9525552254942915
800,-364897.8879042645,35195.29945574928,-329702.5884485152,162.89604154675789,0.9525552254942915
1000,-359193.09688538546,40530.54933192034,-318662.5475534651,187.5894267126888,0.9525552254942915
1200,-354184.18877849216,45162.720531522995,-309021.46824696916,209.02872013682557,0.9525552254942915
1400,-349797.11022929335,47862.07849846326,-301935.0317308301,221.52228417327095,0.9525552254942915
1600,-346581.8788611335,50907.16155997815,-295674.7173011553,235.6159837460083,0.9525552254942915
1800,-342782.19676933857,52102.261863424035,-290679.93490591453,241.14732206939522,0.9525552254942915
2000,-340622.5016074334,54535.85472958954,-286086.6468778439,252.4108331281151,0.9525552254942915
2200,-338520.3343023979,55865.31404250092,-282655.020259897,258.56403150459204,0.9525552254942915
2400,-334957.61585036153,56168.36026289191,-278789.2555874696,259.9666344223329,0.9525552254942915
2600,-333132.45768283727,57258.13346063372,-275874.3242222036,265.0104824032,0.9525552254942915
2800,-331505.83793779695,58634.990438472014,-272870.84749932494,271.38305359691526,0.9525552254942915
3000,-330034.47766948724,59321.29480668553,-270713.1828628017,274.5595080271096,0.9525552254942915
3200,-328341.9204748818,59632.861504118424,-268709.05897076335,276.0015466650654,0.9525552254942915
3400,-327052.69485149765,60110.508420348226,-266942.1864311494,278.21226210474157,0.9525552254942915
3600,-326543.0977624641,61171.89736254304,-265371.20039992104,283.1247379153939,0.9525552254942915
3800,-325400.0249595032,61386.955585158576,-264013.06937434466,284.1201018903531,0.9525552254942915
4000,-324876.9659072445,61721.07521878125,-263155.89068846323,285.6665233319043,0.9525552254942915
4200,-323777.0769484029,62116.7963942833,-261660.2805541196,287.4980580550727,0.9525552254942915
4400,-323046.74294996494,62246.62416684587,-260800.11878311908,288.0989459736387,0.9525552254942915
4600,-322790.04824506724,62664.10120067117,-260125.94704439607,290.0311743478376,0.9525552254942915
4800,-321761.60723751644,62262.64697894745,-259498.960258569,288.1731051001743,0.9525552254942915
5000,-321450.1135730394,62704.432092992996,-258745.68148004642,290.2178396927236,0.9525552254942915
5200,-321246.75681318576,63157.58272299031,-258089.17409019545,292.3151778314086,0.9525552254942915
5400,-320912.7331334376,63104.083512183395,-257808.64962125418,292.0675649455663,0.9525552254942915
5600,-321551.0607566745,64494.54259950854,-257056.51815716596,298.5030914153087,0.9525552254942915
5800,-320628.05728178145,63904.20208415191,-256723.85519762954,295.7707909489588,0.9525552254942915
